name,placeId,_id,type,address,location
Trường tiểu học Trương Văn Hải,ad84cd6980b915c6fe57c769719675b0215c9a1a,ObjectId(5db3f8e77b3f3c14f84e475b),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","76 Phú Châu, Tam Phú, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8660617"",""lng"":""106.7477345""}"
Trường tiểu học Trương Văn Hải,ad84cd6980b915c6fe57c769719675b0215c9a1a,ObjectId(5db3f8e77b3f3c14f84e475c),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","76 Phú Châu, Tam Phú, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8660617"",""lng"":""106.7477345""}"
Thai Van Lung Street Primary School,125c19e7e9c0859e01aca1bb581c5c3de5c68d3b,ObjectId(5db3f8e77b3f3c14f84e475d),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","93/6 Tam Châu, Tam Phú, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8662849"",""lng"":""106.7443812""}"
Thai Van Lung Street Primary School,125c19e7e9c0859e01aca1bb581c5c3de5c68d3b,ObjectId(5db3f8e77b3f3c14f84e475e),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","93/6 Tam Châu, Tam Phú, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8662849"",""lng"":""106.7443812""}"
Nguyen Trung Truc Primary School,a7a3d65d8387e4655488605794b7212b60bdfce7,ObjectId(5db3f8e77b3f3c14f84e475f),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","962 Kha Vạn Cân, Linh Chiểu, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8518753"",""lng"":""106.7551576""}"
Nguyen Trung Truc Primary School,a7a3d65d8387e4655488605794b7212b60bdfce7,ObjectId(5db3f8e77b3f3c14f84e4760),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","962 Kha Vạn Cân, Linh Chiểu, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8518753"",""lng"":""106.7551576""}"
Trường tiểu học Linh Tây,b1a95815e862b8f6c1ee328c526757e4bba06abe,ObjectId(5db3f8e77b3f3c14f84e4761),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","16 Đường số 4, Linh Chiểu, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8562982"",""lng"":""106.7545688""}"
Trường tiểu học Linh Tây,b1a95815e862b8f6c1ee328c526757e4bba06abe,ObjectId(5db3f8e77b3f3c14f84e4762),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","16 Đường số 4, Linh Chiểu, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8562982"",""lng"":""106.7545688""}"
An Binh Primary School B,79e110f85cbe61a19101aa44076d6a18492979ea,ObjectId(5db3f8e77b3f3c14f84e4763),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","Đường 2, An Bình, Di An Bình, 2 Bình Dương, An Bình, Dĩ An, Bình Dương","{""lat"":""10.8745668"",""lng"":""106.7547814""}"
An Binh Primary School B,79e110f85cbe61a19101aa44076d6a18492979ea,ObjectId(5db3f8e77b3f3c14f84e4764),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","Đường 2, An Bình, Di An Bình, 2 Bình Dương, An Bình, Dĩ An, Bình Dương","{""lat"":""10.8745668"",""lng"":""106.7547814""}"
Dao Son Tay Primary School,311aa6969b89797ac028b182e12590ed33ef3051,ObjectId(5db3f8e77b3f3c14f84e4765),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","61 Đường Hiệp Bình, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8461379"",""lng"":""106.7214217""}"
